chr	start	stop
CFLAR	chr2	201116154	201176687
CASP8	chr2	201233443	201287711
STRADB	chr2	201387858	201480846
SUMO1	chr2	202206182	202238599
NOP58	chr2	202265736	202303661
BMPR2	chr2	202376327	202567751
WDR12	chr2	202874261	203014798
NBEAL1	chr2	203014879	203226378
ABI2	chr2	203328280	203447728
RAPH1	chr2	203394345	203535335
NRP2	chr2	205681990	205798133
NDUFS1	chr2	206114817	206159509
EEF1B2	chr2	206159585	206162928
METTL21A	chr2	207580631	207625928
IDH1	chr2	208236229	208266074
CPS1	chr2	210477682	210679107
SPAG16	chr2	213284379	214410501
FN1	chr2	215360440	215436073
XRCC5	chr2	216107464	216206303
RPL37A	chr2	216498825	216579180
IGFBP2	chr2	216632828	216664436
IGFBP5	chr2	216672105	216695549
TNS1	chr2	217799588	218033982
ARPC2	chr2	218217141	218254356
AAMP	chr2	218264129	218270178
PNKD	chr2	218270392	218346793
TMBIM1	chr2	218274197	218292586
CTDSP1	chr2	218398256	218405941
CYP27A1	chr2	218781749	218815293
CNPPD1	chr2	219171897	219178106
ZFAND2B	chr2	219195237	219209651
STK16	chr2	219245455	219250337
DNAJB2	chr2	219279342	219286898
DNPEP	chr2	219373527	219400022
GMPPA	chr2	219498884	219506989
ACSL3	chr2	222860942	222944639
SERPINE2	chr2	223975045	224039318
MFF	chr2	227325151	227357836
CCL20	chr2	227805739	227817564
TRIP12	chr2	229763837	229923239
SP110	chr2	230165186	230225729
SP100	chr2	230415942	230545606
ITM2C	chr2	230864639	230879248
C2orf72	chr2	231037523	231049719
PSMD1	chr2	231056864	231172827
NCL	chr2	231453531	231483641
PTMA	chr2	231706895	231713541
EIF4E2	chr2	232550674	232583644
SPP2	chr2	234050679	234077134
ARL4C	chr2	234493041	234497081
COPS8	chr2	237085882	237100474
RAB17	chr2	237574322	237601614
LRRFIP1	chr2	237627587	237813682
RAMP1	chr2	237858893	237912106
UBE2F	chr2	237966827	238042782
NDUFA10	chr2	239892450	240025345
AGXT	chr2	240868824	240880502
PPP1R7	chr2	241149576	241183652
HDLBP	chr2	241227264	241317061
STK25	chr2	241492670	241509730
BOK	chr2	241551424	241574131
ATG4B	chr2	241637213	241673857
DTYMK	chr2	241675747	241686944
D2HGDH	chr2	241734602	241768816
CRBN	chr3	3144628	3179727
SUMF1	chr3	3700814	4467273
BHLHE40	chr3	4979437	4985323
THUMPD3	chr3	9362971	9386791
SETD5	chr3	9397615	9479240
CAMK1	chr3	9757347	9769992
TADA3	chr3	9779860	9793011
ARPC4	chr3	9792495	9807726
RPUSD3	chr3	9837849	9844602
JAGN1	chr3	9890574	9894349
CRELD1	chr3	9933816	9945406
EMC3	chr3	9962537	10011116
BRK1	chr3	10115675	10127190
SEC13	chr3	10293131	10321112
SLC6A1	chr3	10992186	11039247
VGLL4	chr3	11556069	11771350
PPARG	chr3	12287368	12434356
RAF1	chr3	12583601	12664226
RPL32	chr3	12834485	12841582
IQSEC1	chr3	12897043	13283281
FBLN2	chr3	13549125	13638422
XPC	chr3	14145147	14178621
LSM3	chr3	14178817	14201122
CCDC174	chr3	14651746	14672659
FGD5-AS1	chr3	14920347	14948424
MRPS25	chr3	15042460	15065317
SH3BP5	chr3	15254353	15341368
BTD	chr3	15601341	15722311
ANKRD28	chr3	15667236	15859771
DPH3	chr3	16257061	16264969
RFTN1	chr3	16313574	16514026
TBC1D5	chr3	17157162	18444817
RAB5A	chr3	19947097	19985175
UBE2E1	chr3	23805955	23891640
RPL15	chr3	23916591	23924374
THRB	chr3	24117153	24495756
TOP2B	chr3	25597905	25664907
CMC1	chr3	28241584	28325142
AZI2	chr3	28315003	28349050
TGFBR2	chr3	30606601	30694142
STT3B	chr3	31532638	31637616
CMTM8	chr3	32238679	32370321
CMTM6	chr3	32481312	32502852
DYNC1LI1	chr3	32525974	32570858
GLB1	chr3	32996609	33097202
CRTAP	chr3	33114014	33147773
PDCD6IP	chr3	33798571	33869707
EPM2AIP1	chr3	36985043	36993131
LRRFIP2	chr3	37052626	37183689
GOLGA4	chr3	37243177	37366751
CTDSPL	chr3	37861880	37984469
ACAA1	chr3	38103129	38137242
EXOG	chr3	38496127	38542161
CSRNP1	chr3	39141855	39154562
RPSA	chr3	39406716	39412542
EIF1B	chr3	40309707	40312424
ENTPD3-AS1	chr3	40313802	40453329
RPL14	chr3	40457292	40468587
CTNNB1	chr3	41194741	41260096
SS18L2	chr3	42581840	42596934
NKTR	chr3	42600655	42648735
HIGD1A	chr3	42782908	42804490
SNRK	chr3	43286512	43424764
ANO10	chr3	43354859	43691594
ABHD5	chr3	43690108	43734371
TCAIM	chr3	44338119	44409451
ZDHHC3	chr3	44915257	44976185
EXOSC7	chr3	44975241	45036066
CCDC12	chr3	46921726	46982010
SCAP	chr3	47413681	47477126
ELP6	chr3	47495640	47513712
SMARCC1	chr3	47585269	47782106
DHX30	chr3	47802909	47850195
MAP4	chr3	47850690	48089272
PLXNB1	chr3	48403854	48430086
TMA7	chr3	48440257	48444208
SHISA5	chr3	48467798	48504826
UQCRC1	chr3	48599002	48610976
IP6K2	chr3	48688003	48740353
PRKAR2A	chr3	48744597	48847874
ARIH2	chr3	48918821	48986382
P4HTM	chr3	48989889	49007153
WDR6	chr3	49007062	49015953
DALRD3	chr3	49015488	49022293
NDUFAF3	chr3	49020459	49023495
IMPDH2	chr3	49024325	49029408
LAMB2	chr3	49121114	49133118
KLHDC8B	chr3	49171598	49176486
GPX1	chr3	49357176	49358358
RHOA	chr3	49359145	49412998
AMT	chr3	49416778	49422685
DAG1	chr3	49468703	49535618
APEH	chr3	49674014	49683971
MST1	chr3	49683947	49689501
RBM6	chr3	49940007	50100045
RBM5	chr3	50088919	50119021
GNAI2	chr3	50226292	50259362
IFRD2	chr3	50287732	50292918
HYAL1	chr3	50299890	50312381
HYAL2	chr3	50317790	50322782
TUSC2	chr3	50320027	50328251
TMEM115	chr3	50354750	50359521
CISH	chr3	50606489	50611774
MANF	chr3	51385291	51389397
TEX264	chr3	51662693	51704323
PCBP4	chr3	51957454	51974016
ABHD14B	chr3	51968510	51983409
ABHD14A	chr3	51971426	51981199
RPL29	chr3	51993522	51995895
ALAS1	chr3	52198086	52214327
TWF2	chr3	52228612	52239158
WDR82	chr3	52254434	52288020
GLYCTK	chr3	52287089	52295257
SEMA3G	chr3	52433035	52445103
NISCH	chr3	52455118	52493068
STAB1	chr3	52495338	52524495
SMIM4	chr3	52534013	52579237
PBRM1	chr3	52545352	52685917
GNL3	chr3	52681156	52694497
SPCS1	chr3	52704955	52711148
ITIH1	chr3	52777595	52792068
ITIH3	chr3	52794768	52809009
ITIH4	chr3	52812962	52830688
TKT	chr3	53224712	53256052
DCP1A	chr3	53283429	53347586
CHDH	chr3	53812335	53846419
IL17RB	chr3	53846568	53865794
APPL1	chr3	57227726	57278105
ARF4	chr3	57571363	57598220
FLNB	chr3	58008400	58172251
DNASE1L3	chr3	58192257	58214697
RPP14	chr3	58306247	58324695
PDHB	chr3	58427630	58433857
ACOX2	chr3	58505136	58537283
FAM107A	chr3	58564117	58627610
FHIT	chr3	59747277	61251459
PTPRG	chr3	61561569	62297609
THOC7	chr3	63833870	63863868
ATXN7	chr3	63863155	64003462
PSMD6	chr3	64010550	64024010
ADAMTS9	chr3	64515654	64688000
MAGI1	chr3	65353525	66038834
SLC25A26	chr3	66133610	66388116
SUCLG2	chr3	67360460	67654612
ARL6IP5	chr3	69084937	69106092
FRMD4B	chr3	69168782	69542583
FOXP1	chr3	70952817	71583989
RYBP	chr3	72371825	72446621
PPP4R2	chr3	72996803	73069198
ROBO1	chr3	78597239	79767998
GBE1	chr3	81489703	81761645
CHMP2B	chr3	87227271	87255556
CGGBP1	chr3	88051944	88149885
PROS1	chr3	93873051	93980003
MTRNR2L12	chr3	96617188	96618236
CLDND1	chr3	98497912	98523066
COL8A1	chr3	99638475	99799226
CMSS1	chr3	99817837	100181732
FILIP1L	chr3	99830141	100114513
NIT2	chr3	100334739	100361635
TFG	chr3	100709295	100748964
SENP7	chr3	101324205	101513241
TRMT10C	chr3	101561868	101566446
PCNP	chr3	101574180	101594465
RPL24	chr3	101681091	101686718
NFKBIZ	chr3	101827991	101861022
ALCAM	chr3	105366909	105576900
BBX	chr3	107522936	107811339
CD47	chr3	108043091	108091862
PLCXD2	chr3	111674676	111846447
ATG3	chr3	112532510	112562046
CCDC80	chr3	112596797	112649530
NAA50	chr3	113716458	113746300
ATP6V1A	chr3	113747033	113812056
ZBTB20	chr3	114314500	115147288
TIMMDC1	chr3	119498547	119525090
COX17	chr3	119654513	119677454
GSK3B	chr3	119821321	120094447
LRRC58	chr3	120324509	120349354
FSTL1	chr3	120392293	120450993
NDUFB4	chr3	120596328	120602507
HGD	chr3	120628172	120682269
GOLGB1	chr3	121663199	121749767
CSTA	chr3	122325248	122341969
CCDC58	chr3	122359591	122383231
FAM162A	chr3	122384176	122412334
PARP9	chr3	122527924	122564577
DTX3L	chr3	122564338	122575203
PARP14	chr3	122680839	122730840
PDIA5	chr3	123067025	123225227
MYLK	chr3	123610049	123884332
CCDC14	chr3	123897305	123961408
UMPS	chr3	124730433	124749273
ITGB5	chr3	124761948	124901418
HEG1	chr3	124965710	125055997
ZNF148	chr3	125225669	125375325
SNX4	chr3	125446650	125520202
ALDH1L1	chr3	126103562	126197994
CHST13	chr3	126524155	126543291
TPRA1	chr3	127571232	127598267
MGLL	chr3	127689062	128052190
SEC61A1	chr3	128051641	128071683
RUVBL1	chr3	128064778	128153914
RPN1	chr3	128619969	128681075
RAB7A	chr3	128693669	128825942
ISY1	chr3	129127415	129161063
CNBP	chr3	129167827	129183922
HMCES	chr3	129278828	129306186
PLXND1	chr3	129555214	129606676
NUDT16	chr3	131381671	131388830
MRPL3	chr3	131462212	131502983
CDV3	chr3	133573686	133590261
TF	chr3	133746040	133796641
SRPRB	chr3	133784023	133825772
SLCO2A1	chr3	133932701	134052184
ANAPC13	chr3	134477706	134486716
PCCB	chr3	136250340	136337896
STAG1	chr3	136336236	136752403
NCK1	chr3	136862208	136951606
MRPS22	chr3	139005806	139357223
COPB2	chr3	139355600	139389680
RBP1	chr3	139517434	139539829
ZBTB38	chr3	141324213	141449792
RNF7	chr3	141738249	141747560
ATP1B3	chr3	141876124	141926549
TFDP2	chr3	141944428	142149544
U2SURP	chr3	142964497	143060725
PLOD2	chr3	146069440	146163653
PLSCR4	chr3	146192335	146251179
PLSCR1	chr3	146515180	146544856
AGTR1	chr3	148697784	148743008
HLTF	chr3	149030127	149086554
CP	chr3	149162410	149221829
TM4SF18	chr3	149318498	149334414
TM4SF1	chr3	149369022	149377692
TM4SF4	chr3	149474697	149503394
WWTR1	chr3	149517235	149736714
COMMD2	chr3	149738472	149752495
RNF13	chr3	149812770	149962139
TSC22D2	chr3	150408335	150466431
SERP1	chr3	150541998	150603228
EIF2A	chr3	150546678	150586016
SIAH2	chr3	150741125	150763477
AADAC	chr3	151814073	151828488
MBNL1	chr3	152243828	152465780
RAP2B	chr3	153162226	153170627
DHX36	chr3	154272546	154324487
SLC33A1	chr3	155821024	155854456
SSR3	chr3	156539553	156555149
CCNL1	chr3	157146508	157160760
RSRC1	chr3	158105855	158545730
GFM1	chr3	158644527	158695581
MFSD1	chr3	158732198	158829719
SMC4	chr3	160399274	160434954
KPNA4	chr3	160495007	160565571
NMD3	chr3	161104696	161253532
BCHE	chr3	165772904	165837462
PDCD10	chr3	167683298	167734939
GOLIM4	chr3	168008689	168095924
MECOM	chr3	169083499	169663775
SEC62	chr3	169966635	169998373
SKIL	chr3	170357678	170396835
RPL22L1	chr3	170864875	170870208
SLC2A2	chr3	170996347	171026743
FNDC3B	chr3	172039578	172401669
TNFSF10	chr3	172505508	172523475
TBL1XR1	chr3	177019340	177228000
ZMAT3	chr3	178960121	179072215
PIK3CA	chr3	179148114	179240093
MRPL47	chr3	179588285	179604649
NDUFB5	chr3	179604690	179627647
TTC14	chr3	180602163	180617828
FXR1	chr3	180868141	180982753
DNAJC19	chr3	180983709	180989774
DCUN1D1	chr3	182938074	182985953
KLHL24	chr3	183635610	183684519
PARL	chr3	183829271	183884933
EIF2B5	chr3	184135038	184146127
DVL3	chr3	184155377	184173614
AP2M1	chr3	184174689	184184091
ALG3	chr3	184242301	184249548
PSMD2	chr3	184299198	184309050
EIF4G1	chr3	184314495	184335358
POLR2H	chr3	184361718	184368596
EHHADH	chr3	185190624	185281990
MAP3K13	chr3	185282941	185489094
TRA2B	chr3	185914558	185938103
DNAJB11	chr3	186567403	186585800
AHSG	chr3	186613060	186621318
FETUB	chr3	186635969	186653141
HRG	chr3	186660216	186678234
KNG1	chr3	186717348	186744410
EIF4A2	chr3	186783205	186789897
ST6GAL1	chr3	186930502	187078553
MASP1	chr3	187217285	187292022
BCL6	chr3	187721377	187745725
LPP	chr3	188153284	188890671
CLDN1	chr3	190305707	190322446
IL1RAP	chr3	190514051	190659750
CCDC50	chr3	191329085	191398659
HES1	chr3	194136148	194138732
ATP13A3	chr3	194402672	194498364
FAM43A	chr3	194685883	194689037
ACAP2	chr3	195274745	195443044
PPP1R2	chr3	195514428	195543386
TFRC	chr3	196027183	196082096
RNF168	chr3	196468783	196503768
PAK2	chr3	196739857	196832647
SENP5	chr3	196867856	196934714
NCBP2	chr3	196935402	196942594
DLG1	chr3	197042560	197299330
BDH1	chr3	197509783	197573323
FYTTD1	chr3	197737179	197787596
RPL35A	chr3	197950190	197956610
PCGF3	chr4	705748	770640
GAK	chr4	849276	932373
SPON2	chr4	1166932	1208962
CTBP1	chr4	1211445	1249953
MAEA	chr4	1289887	1340147
SLBP	chr4	1692731	1712344
FGFR3	chr4	1793293	1808872
C4orf48	chr4	2041993	2043970
MXD4	chr4	2247432	2262109
TNIP2	chr4	2741648	2756342
SH3BP2	chr4	2793071	2841098
ADD1	chr4	2843857	2930076
HTT	chr4	3041422	3243960
RGS12	chr4	3293028	3439913
LRPAP1	chr4	3503612	3532446
LYAR	chr4	4267701	4290154
MSX1	chr4	4859665	4863936
MRFAP1	chr4	6640091	6642745
MRFAP1L1	chr4	6707701	6709865
BLOC1S4	chr4	6716174	6717664
KIAA0232	chr4	6781375	6884170
GRPEL1	chr4	7058895	7068064
WDR1	chr4	10074339	10116949
BOD1L1	chr4	13568738	13627725
FBXL5	chr4	15604381	15681679
FAM200B	chr4	15681662	15690447
LDB2	chr4	16501541	16898678
QDPR	chr4	17460261	17512206
LAP3	chr4	17577192	17607972
MED28	chr4	17614641	17634105
DHX15	chr4	24517441	24584554
SOD3	chr4	24789912	24800842
PI4K2B	chr4	25160663	25279204
SMIM20	chr4	25861830	25929874
RBPJ	chr4	26163455	26435131
STIM2	chr4	26857601	27025381
KLF3	chr4	38664197	38701517
FAM114A1	chr4	38867677	38945739
KLHL5	chr4	39045039	39126857
RFC1	chr4	39287456	39366375
KLB	chr4	39406930	39451533
RPL9	chr4	39452587	39458931
UGDH	chr4	39498755	39528311
SMIM14	chr4	39546336	39638902
UBE2K	chr4	39698109	39782792
PDS5A	chr4	39822863	39977956
RBM47	chr4	40423267	40630875
APBB2	chr4	40810027	41216714
LIMCH1	chr4	41359607	41700044
TMEM33	chr4	41935129	41960803
SLAIN2	chr4	48341529	48426201
FRYL	chr4	48497357	48780322
OCIAD1	chr4	48805212	48861817
OCIAD2	chr4	48885019	48906937
DCUN1D4	chr4	51843000	51916837
FIP1L1	chr4	53377641	53460862
KDR	chr4	55078481	55125595
TMEM165	chr4	55395957	55453397
CLOCK	chr4	55427903	55546909
PAICS	chr4	56435741	56464578
SRP72	chr4	56467617	56503681
REST	chr4	56907876	56966808
POLR2B	chr4	56977722	57031158
IGFBP7	chr4	57030773	57110385
YTHDC1	chr4	68310387	68350090
UGT2B15	chr4	68646597	68670652
UGT2B10	chr4	68815994	68832023
UGT2B7	chr4	69051363	69112987
UGT2B4	chr4	69480165	69526014
RUFY3	chr4	70704204	70808619
GRSF1	chr4	70815783	70839897
GC	chr4	71741696	71804041
ANKRD17	chr4	73073376	73258798
ALB	chr4	73397114	73421482
AFM	chr4	73481745	73504001
CXCL3	chr4	74036589	74038807
CXCL2	chr4	74097040	74099196
MTHFD2L	chr4	74114174	74303099
G3BP2	chr4	75642782	75724525
USO1	chr4	75724577	75814286
CXCL9	chr4	76001275	76007509
CXCL10	chr4	76021118	76023497
SCARB2	chr4	76158737	76234536
CCNI	chr4	77047155	77076309
CNOT6L	chr4	77713387	77819615
MRPL1	chr4	77862830	77952785
HNRNPD	chr4	82352498	82374503
HNRNPDL	chr4	82422564	82430408
ENOPH1	chr4	82430590	82461177
TMEM150C	chr4	82483170	82562357
SEC31A	chr4	82818509	82901166
MRPS18C	chr4	83455932	83469735
AFF1	chr4	86935002	87141054
HSD17B11	chr4	87336515	87391188
NUDT9	chr4	87422573	87459455
SPARCL1	chr4	87473335	87531061
SPP1	chr4	87975650	87983426
PYURF	chr4	88520998	88523776
PDLIM5	chr4	94451857	94668227
EIF4E	chr4	98871684	98930637
METAP1	chr4	98995659	99062809
ADH5	chr4	99070978	99088801
ADH4	chr4	99123657	99157792
ADH6	chr4	99202638	99219537
ADH1A	chr4	99276369	99291003
ADH1B	chr4	99304971	99352760
TRMT10A	chr4	99546709	99564039
MTTP	chr4	99563761	99623999
LAMTOR3	chr4	99878336	99894428
DNAJB14	chr4	99896248	99946618
EMCN	chr4	100395341	100880126
PPP3CA	chr4	101023409	101348278
NFKB1	chr4	102501331	102617302
UBE2D3	chr4	102794383	102868896
CISD2	chr4	102868974	102892807
BDH2	chr4	103077592	103099870
PPA2	chr4	105369077	105474067
AIMP1	chr4	106315544	106349456
PAPSS1	chr4	107590276	107720234
HADH	chr4	107989714	108035174
RPL34	chr4	108620566	108630412
OSTC	chr4	108650585	108667820
PLA2G12A	chr4	109709989	109730070
CFI	chr4	109740694	109802179
GAR1	chr4	109815510	109824740
LARP7	chr4	112637107	112657592
CAMK2D	chr4	113451032	113761927
SNHG8	chr4	118278709	118285316
C4orf3	chr4	119296419	119304445
ANXA5	chr4	121667946	121696995
SPRY1	chr4	123396795	123403760
LARP1B	chr4	128061286	128222931
PGRMC2	chr4	128269237	128288829
JADE1	chr4	128809700	128875224
ELF2	chr4	139028112	139177218
NDUFC1	chr4	139266880	139302551
NAA15	chr4	139301505	139420033
SETD7	chr4	139495941	139606699
MGST2	chr4	139665768	139740745
SCOC	chr4	140257286	140385726
TBC1D9	chr4	140620782	140756385
ZNF330	chr4	141220887	141234697
SMARCA5	chr4	143513702	143557486
ABCE1	chr4	145098288	145129524
OTUD4	chr4	145110838	145180589
LSM6	chr4	146175703	146200000
RPS3A	chr4	151099624	151104642
FBXW7	chr4	152320544	152536092
FGB	chr4	154563011	154572807
FGA	chr4	154583128	154590745
FGG	chr4	154604134	154612967
CTSO	chr4	155924118	155953866
ETFDH	chr4	158672125	158709623
PPID	chr4	158709127	158723396
FNIP2	chr4	158769026	158908050
RAPGEF2	chr4	159103013	159360174
TMA16	chr4	163494442	163520539
TMEM192	chr4	165070608	165208549
MSMO1	chr4	165327667	165343164
CPE	chr4	165361194	165498547
PALLD	chr4	168497052	168928457
CBR4	chr4	168863770	169010275
CLCN3	chr4	169612633	169723673
HMGB2	chr4	173331376	173334432
HPGD	chr4	174490175	174523154
SPCS3	chr4	176319966	176332245
VEGFC	chr4	176683538	176792922
AGA	chr4	177430774	177442437
IRF2	chr4	184387729	184474550
ACSL1	chr4	184755595	184826818
SLC25A4	chr4	185143266	185150382
ANKRD37	chr4	185396021	185400628
SORBS2	chr4	185585444	185956652
FRG1	chr4	189940870	189963202
SDHA	chr5	218241	257082
PDCD6	chr5	271621	314974
BRD9	chr5	850291	892801
SLC12A7	chr5	1050384	1112063
CLPTM1L	chr5	1317752	1345099
MRPL36	chr5	1798385	1801366
NDUFS6	chr5	1801407	1816048
MED10	chr5	6371874	6378571
MIR4458HG	chr5	8450701	8486930
CCT5	chr5	10249929	10266389
CMBL	chr5	10275875	10307902
DAP	chr5	10679230	10761234
ANKH	chr5	14704800	14871778
MYO10	chr5	16661907	16936288
GOLPH3	chr5	32124716	32174319
ZFR	chr5	32354350	32444740
SUB1	chr5	32531633	32604079
DNAJC21	chr5	34929559	34958964
IL7R	chr5	35852695	35879603
NADK2	chr5	36192589	36242279
NIPBL	chr5	36876769	37066413
WDR70	chr5	37379285	37753435
RICTOR	chr5	38937920	39074399
C9	chr5	39284140	39424868
DAB2	chr5	39371675	39462300
RPL37	chr5	40825262	40835222
C7	chr5	40909497	40984643
C6	chr5	41142116	41261438
HMGCS1	chr5	43287470	43313512
PAIP1	chr5	43526267	43557758
NNT-AS1	chr5	43571594	43603230
NNT	chr5	43602692	43707405
PELO	chr5	52787916	52804044
ITGA1	chr5	52787916	52959209
MOCS2	chr5	53095679	53110063
FST	chr5	53480626	53487134
NDUFS4	chr5	53560633	53683338
ARL15	chr5	53883942	54310582
ESM1	chr5	54977867	55022671
DHX29	chr5	55256055	55307694
IL6ST	chr5	55935095	55995022
MAP3K1	chr5	56815549	56896152
GPBP1	chr5	57173948	57264679
PLK2	chr5	58453982	58460139
NDUFAF2	chr5	60945205	61153026
SMIM15	chr5	61157704	61162468
ZSWIM6	chr5	61332258	61546172
IPO11	chr5	62403972	62628582
SREK1IP1	chr5	64718148	64768691
CWC27	chr5	64768930	65018750
SREK1	chr5	66139971	66183615
MAST4	chr5	66596361	67169595
PIK3R1	chr5	68215756	68301821
MRPS36	chr5	69217760	69230158
TAF9	chr5	69364743	69370013
OCLN	chr5	69492292	69558104
BDP1	chr5	71455651	71567820
MCCC2	chr5	71587288	71658706
MAP1B	chr5	72107234	72209565
MRPS27	chr5	72219403	72320646
TNPO1	chr5	72816312	72916733
BTF3	chr5	73498408	73505635
ANKRA2	chr5	73552190	73565667
ENC1	chr5	74627406	74641424
HEXB	chr5	74640023	74722647
NSA2	chr5	74766991	74780113
HMGCR	chr5	75336329	75362101
POLK	chr5	75511756	75601144
IQGAP2	chr5	76403285	76708132
F2R	chr5	76716126	76735770
CRHBP	chr5	76953045	76981158
AGGF1	chr5	77029251	77065234
TBCA	chr5	77691166	77868780
SCAMP1	chr5	78360611	78480739
BHMT2	chr5	79069767	79090069
BHMT	chr5	79111809	79132288
MTRNR2L2	chr5	80650000	80650086
ZCCHC9	chr5	81301587	81313297
RPS23	chr5	82273320	82278396
TMEM167A	chr5	83052846	83077863
COX7C	chr5	86617928	86620962
TMEM161B-AS1	chr5	88268891	88439337
MEF2C	chr5	88717117	88904257
CETN3	chr5	90392257	90409766
ARRDC3	chr5	91368631	91383317
NR2F1	chr5	93583222	93594611
TTC37	chr5	95461755	95554977
RHOBTB3	chr5	95713522	95824383
GLRX	chr5	95751319	95822726
ELL2	chr5	95885098	95961851
CAST	chr5	96525267	96779595
CHD1	chr5	98853985	98929007
PAM	chr5	102753981	103031105
PJA2	chr5	109334713	109409974
MAN2A1	chr5	109689366	109869625
NREP	chr5	111662621	111997464
EPB41L4A-AS1	chr5	112160526	112164818
SRP19	chr5	112861188	112898371
REEP5	chr5	112876385	112922289
TMED7	chr5	115613210	115632992
CDO1	chr5	115804733	115816659
ATG12	chr5	115828200	115841837
AP3S1	chr5	115841592	115914081
HSD17B4	chr5	119452473	119637199
SNX2	chr5	122775079	122834543
PPIC	chr5	123023250	123036725
ALDH7A1	chr5	126531200	126595362
PHAX	chr5	126600925	126627252
SLC12A2	chr5	128083766	128189677
ISOC1	chr5	129094749	129114028
HINT1	chr5	131155383	131224468
LYRM7	chr5	131170944	131205428
CDC42SE2	chr5	131245493	131398447
IRF1	chr5	132481609	132490777
RAD50	chr5	132556019	132646349
SHROOM1	chr5	132822141	132830898
UQCRQ	chr5	132866630	132868847
LEAP2	chr5	132873444	132875046
AFF4	chr5	132875395	132963634
ZCCHC10	chr5	132996985	133026604
HSPA4	chr5	133052013	133106449
C5orf15	chr5	133955510	133968674
VDAC1	chr5	133971871	134004975
SKP1	chr5	134148935	134176964
PPP2CA	chr5	134194332	134226073
UBE2B	chr5	134371469	134392108
SAR1B	chr5	134601149	134649271
CAMLG	chr5	134738548	134752157
DDX46	chr5	134758771	134855133
C5orf24	chr5	134845680	134859735
TXNDC15	chr5	134874371	134901635
LECT2	chr5	135922279	135954983
TGFBI	chr5	136028988	136063818
SMAD5	chr5	136132845	136188747
HNRNPA0	chr5	137745651	137754363
BRD8	chr5	138139770	138178953
FAM53C	chr5	138331935	138349729
EGR1	chr5	138465479	138469303
ETF1	chr5	138506095	138543236
HSPA9	chr5	138553756	138575416
CTNNA1	chr5	138610967	138935034
SIL1	chr5	138946724	139293557
MATR3	chr5	139273752	139331671
PAIP2	chr5	139341587	139369720
ECSCR	chr5	139448560	139462743
UBE2D2	chr5	139526431	139628434
CXXC5	chr5	139647299	139683882
PURA	chr5	140107777	140125619
CYSTM1	chr5	140175156	140282052
PFDN1	chr5	140245035	140303113
HBEGF	chr5	140332843	140346603
SRA1	chr5	140537340	140558252
CD14	chr5	140631728	140633701
NDUFA2	chr5	140638740	140647771
IK	chr5	140647058	140662480
ZMAT2	chr5	140698680	140706686
TAF7	chr5	141260225	141320784
DIAPH1	chr5	141515016	141619055
PCDH12	chr5	141943581	141969741
NDFIP1	chr5	142108779	142154440
NR3C1	chr5	143277931	143435512
RBM27	chr5	146203605	146289223
TCERG1	chr5	146447311	146511961
SPINK1	chr5	147824568	147831786
CSNK1A1	chr5	149492982	149551471
PDGFRB	chr5	150113839	150155872
CD74	chr5	150400041	150412929
RPS14	chr5	150442635	150449739
NDST1	chr5	150485818	150558211
SYNPO	chr5	150601080	150659207
RBM22	chr5	150690792	150701077
GPX3	chr5	151020438	151028992
TNIP1	chr5	151029945	151093577
ANXA6	chr5	151100706	151157785
SPARC	chr5	151661096	151686975
ATOX1	chr5	151742316	151772532
G3BP1	chr5	151771045	151812785
LARP1	chr5	154712843	154817605
MRPL22	chr5	154941073	154969411
CLINT1	chr5	157785743	157859145
RNF145	chr5	159157409	159210053
TTC1	chr5	160009113	160065543
SLU7	chr5	160401641	160421711
PTTG1	chr5	160421855	160428739
CCNG1	chr5	163437569	163446151
NUDCD2	chr5	163446526	163460102
MAT2B	chr5	163503114	163519354
PANK3	chr5	168548495	168579368
NPM1	chr5	171387116	171411137
FBXW11	chr5	171861549	172006873
DUSP1	chr5	172768096	172771195
ERGIC1	chr5	172834251	172952683
RPL26L1	chr5	172958729	172969771
ATP6V0E1	chr5	172983771	173035445
CREBRF	chr5	173056352	173139284
BOD1	chr5	173607145	173616659
CPEB4	chr5	173888349	173961980
SFXN1	chr5	175477062	175529742
KIAA1191	chr5	176346062	176361807
HIGD2A	chr5	176388751	176389761
CLTB	chr5	176392455	176416569
RNF44	chr5	176526712	176538025
FGFR4	chr5	177086905	177098144
NSD1	chr5	177133025	177300213
PRELID1	chr5	177303799	177306949
LMAN2	chr5	177331567	177351668
RGS14	chr5	177357924	177372596
F12	chr5	177402141	177409564
DDX41	chr5	177511577	177516961
TMED9	chr5	177592203	177597242
B4GALT7	chr5	177600132	177610330
NHP2	chr5	178149463	178153894
HNRNPAB	chr5	178204533	178211163
HNRNPH1	chr5	179614178	179634784
CANX	chr5	179678628	179731641
MGAT4B	chr5	179797597	179806952
SQSTM1	chr5	179806398	179838078
RNF130	chr5	179911651	180072113
SCGB3A1	chr5	180590105	180591499
MGAT1	chr5	180784780	180815652
FOXC1	chr6	1609915	1613897
SERPINB1	chr6	2832332	2841959
SERPINB9	chr6	2887270	2903309
SERPINB6	chr6	2948159	2972165
NQO2	chr6	2987987	3021850
BPHL	chr6	3118374	3153578
TUBB2A	chr6	3153666	3157544
PSMG4	chr6	3231403	3303373
PXDC1	chr6	3722614	3751713
PRPF4B	chr6	4021267	4064983
ECI2	chr6	4115689	4135597
LYRM4	chr6	5103629	5260950
